Protein systematic name	Common name	Description	Average 1	Average 2	Average 3	Average 4	Average 5	Standard deviation 1	Standard deviation 2	Standard deviation 3	Standard deviation 4	Standard deviation 5	Slope	Intercept	r value	p value	std err	Ave uniqiue peptides	Ave MS/MS count	Time point filtered
YER177W	BMH1	SGDID:S000000979, Chr V from 545611-546414, Genome Release 64-2-1, Verified ORF, "14-3-3 protein, major isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of exocytosis, vesicle transport, Ras/MAPK and rapamycin-sensitive signaling, aggresome formation, spindle position checkpoint; protein increases in abundance and relative distribution to the nucleus increases upon DNA replication stress; antiapoptotic gene similar to human 14-3-3; BMH1 has a paralog, BMH2, that arose from whole genome duplication"	-0.26505	-0.6339	-1.13443	-1.42095	-1.67427	0.02954	0.0	0.0	0.18786	0.02857	-0.36055	0.05593	0.99208	0.00084	0.02635	2.2	3.4	
YHR128W	FUR1	SGDID:S000001170, Chr VIII from 362115-362765, Genome Release 64-2-1, Verified ORF, "Uracil phosphoribosyltransferase; synthesizes UMP from uracil; involved in the pyrimidine salvage pathway"	-0.37338	-0.76233	-1.18252	-1.30351	-1.49306	0.00315	0.00473	0.0	0.0	0.0137	-0.27805	-0.1888	0.97395	0.00503	0.03737	1.6	1.8	
YAL005C	SSA1	SGDID:S000000004, Chr I from 141431-139503, Genome Release 64-2-1, reverse complement, Verified ORF, "ATPase involved in protein folding and NLS-directed nuclear transport; member of HSP70 family; forms chaperone complex with Ydj1p; localized to nucleus, cytoplasm, and cell wall; 98% identical with paralog Ssa2p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes; general targeting factor of Hsp104p to prion fibrils"	-0.20672	-0.5946	-1.07453	-1.63961	-1.74124	0.10252	0.0229	0.05258	0.15692	0.174	-0.4114	0.18287	0.98498	0.0022	0.04164	3.4	7.4	
YDL191W	RPL35A	SGDID:S000002350, Chr IV from 117664-117666,118158-118517, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L35A; homologous to mammalian ribosomal protein L35 and bacterial L29; RPL35A has a paralog, RPL35B, that arose from the whole genome duplication"	-0.3624	-0.74519	-1.14043	-1.52504	-1.71273	0.01462	0.06866	0.01857	0.0303	0.03208	-0.34805	-0.053	0.99336	0.00065	0.02327	2.4	4.0	
YOR096W	RPS7A	SGDID:S000005622, Chr XV from 505794-505937,506339-506767, Genome Release 64-2-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; interacts with Kti11p; deletion causes hypersensitivity to zymocin; homologous to mammalian ribosomal protein S7, no bacterial homolog; RPS7A has a paralog, RPS7B, that arose from the whole genome duplication"	-0.36624	-0.79636	-1.19833	-1.56247	-1.57942	0.03201	0.09338	0.01427	0.10278	0.00157	-0.31925	-0.14282	0.96965	0.00632	0.04648	3.4	6.4	
YKL081W	TEF4	SGDID:S000001564, Chr XI from 282891-283095,283422-284455, Genome Release 64-2-1, Verified ORF, "Gamma subunit of translational elongation factor eEF1B; stimulates the binding of aminoacyl-tRNA (AA-tRNA) to ribosomes by releasing eEF1A (Tef1p/Tef2p) from the ribosomal complex"	-0.36478	-0.71711	-1.07452	-1.58081	-1.56192	0.0	0.04268	0.00304	0.04863	0.09814	-0.3258	-0.08243	0.97165	0.00571	0.04577	2.2	3.2	
YNL069C	RPL16B	SGDID:S000005013, Chr XIV from 494524-493956,495001-494974, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L16B; N-terminally acetylated, binds 5.8 S rRNA; transcriptionally regulated by Rap1p; homologous to mammalian ribosomal protein L13A and bacterial L13; RPL16B has a paralog, RPL16A, that arose from the whole genome duplication"	-0.64954	-0.99423	-1.20939	-1.38039	-1.83712	0.52224	0.36485	0.05645	0.23205	0.18629	-0.27613	-0.38574	0.98688	0.0018	0.02608	3.8	7.4	
YOL121C	RPS19A	SGDID:S000005481, Chr XV from 92440-92026,92850-92831, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; required for assembly and maturation of pre-40 S particles; homologous to mammalian ribosomal protein S19, no bacterial homolog; mutations in human RPS19 are associated with Diamond Blackfan anemia; RPS19A has a paralog, RPS19B, that arose from the whole genome duplication"	-0.38715	-0.76127	-1.17381	-1.49062	nan	0.0334	0.03512	0.0057	0.0	nan	-0.3723	-0.02247	0.99876	0.00124	0.01312	1.6	2.6	
YML031W	NDC1	SGDID:S000004493, Chr XIII from 214189-216156, Genome Release 64-2-1, Verified ORF, "Subunit of the transmembrane ring of the nuclear pore complex (NPC); contributes to nucleocytoplasmic transport, NPC biogenesis and spindle pole body duplication; homologous to human NDC1"	-0.33953	-0.67994	-1.02446	-1.30276	-1.59231	0.02026	0.08152	0.0	0.00615	0.08072	-0.31284	-0.04929	0.99881	5e-05	0.00882	2.6	4.4	
YOR310C	NOP58	SGDID:S000005837, Chr XV from 898360-896825, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein involved in producing mature rRNAs and snoRNAs; involved in pre-rRNA processing, 18S rRNA synthesis, and snoRNA synthesis; component of the small subunit processome complex, which is required for processing of pre-18S rRNA"	-0.46009	-0.85896	-1.26508	-1.41993	-1.65122	0.02231	0.07134	0.10831	0.11381	0.19007	-0.29432	-0.24809	0.98315	0.00262	0.0316	2.8	4.0	
YOR317W	FAA1	SGDID:S000005844, Chr XV from 909343-911445, Genome Release 64-2-1, Verified ORF, "Long chain fatty acyl-CoA synthetase; activates imported fatty acids with a preference for C12:0-C16:0 chain lengths; functions in long chain fatty acid import; accounts for most acyl-CoA synthetase activity; localized to lipid particles; involved in sphingolipid-to-glycerolipid metabolism; forms ER foci upon DNA replication stress; FAA1 has a paralog, FAA4, that arose from the whole genome duplication"	-0.20252	-0.52008	-0.88676	-1.51991	-1.64902	0.05758	0.041	0.0	0.16389	0.04514	-0.38928	0.21219	0.98535	0.00212	0.03891	2.2	2.2	
YGL026C	TRP5	SGDID:S000002994, Chr VII from 448535-446412, Genome Release 64-2-1, reverse complement, Verified ORF, "Tryptophan synthase; catalyzes the last step of tryptophan biosynthesis; regulated by the general control system of amino acid biosynthesis"	-0.31866	-0.71874	-1.06554	-1.61358	-1.54495	0.07512	0.10063	0.04619	0.11518	0.13716	-0.33474	-0.04807	0.96335	0.00838	0.05382	3.2	3.4	
YOR136W	IDH2	SGDID:S000005662, Chr XV from 580250-581359, Genome Release 64-2-1, Verified ORF, "Subunit of mitochondrial NAD(+)-dependent isocitrate dehydrogenase; complex catalyzes the oxidation of isocitrate to alpha-ketoglutarate in the TCA cycle; phosphorylated"	-0.21912	-0.65066	-1.02532	-1.77297	-1.86901	0.04232	0.09028	0.0	0.0	0.0	-0.44221	0.21921	0.9821	0.00287	0.04897	1.4	1.6	
YMR143W	RPS16A	SGDID:S000004751, Chr XIII from 551928-551951,552496-552903, Genome Release 64-2-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S16 and bacterial S9; RPS16A has a paralog, RPS16B, that arose from the whole genome duplication"	-0.39571	-0.75595	-1.21074	-1.52023	-1.60197	0.02667	0.03419	0.05797	0.05861	0.05395	-0.31768	-0.14388	0.97797	0.00391	0.03915	3.6	5.4	
YAL012W	CYS3	SGDID:S000000010, Chr I from 130799-131983, Genome Release 64-2-1, Verified ORF, "Cystathionine gamma-lyase; catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine; protein abundance increases in response to DNA replication stress"	nan	-0.67809	-1.10766	-1.52905	-1.7534	nan	0.00862	0.1035	0.12226	0.0	-0.36473	-0.35522	0.99087	0.00913	0.03509	1.6	1.6	
YLR029C	RPL15A	SGDID:S000004019, Chr XII from 202590-201976, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L15A; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15, no bacterial homolog; RPL15A has a paralog, RPL15B, that arose from the whole genome duplication"	-0.4379	-0.84861	-1.2673	-1.48128	-1.67298	0.00016	0.01479	0.02187	0.02866	0.0751	-0.31028	-0.21077	0.98387	0.00245	0.03257	2.6	4.4	
YNL064C	YDJ1	SGDID:S000005008, Chr XIV from 507097-505868, Genome Release 64-2-1, reverse complement, Verified ORF, "Type I HSP40 co-chaperone; involved in regulation of HSP90 and HSP70 functions; critical for determining cell size at Start as a function of growth rate; involved in protein translocation across membranes; member of the DnaJ family"	-0.59563	-0.90663	-1.19689	-1.44414	nan	0.28051	0.11077	0.61928	0.75357	nan	-0.28358	-0.32688	0.99871	0.00129	0.0102	3.4	4.8	Yes
YBR221C	PDB1	SGDID:S000000425, Chr II from 666253-665153, Genome Release 64-2-1, reverse complement, Verified ORF, "E1 beta subunit of the pyruvate dehydrogenase (PDH) complex; PDH is an evolutionarily conserved multi-protein complex found in mitochondria"	-0.49104	-0.77524	-1.24588	-1.63487	-1.69228	0.12081	0.02863	0.0	0.01133	0.10935	-0.32621	-0.18923	0.97849	0.00377	0.03971	2.0	3.2	
YBL076C	ILS1	SGDID:S000000172, Chr II from 84261-81043, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytoplasmic isoleucine-tRNA synthetase; target of the G1-specific inhibitor reveromycin A"	-0.4039	-0.78152	-0.76646	-1.71074	-1.74552	0.01272	0.15274	0.20308	0.14796	0.13226	-0.36125	0.00211	0.93735	0.01864	0.07752	2.8	2.8	
YHL033C	RPL8A	SGDID:S000001025, Chr VIII from 36025-35255, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L8A; required for processing of 27SA3 pre-rRNA to 27SB pre-rRNA during assembly of large ribosomal subunit; depletion leads to a turnover of pre-rRNA; L8 binds to Domain I of 25S and 5.8 S rRNAs; mutation results in decreased amounts of free 60S subunits; homologous to mammalian ribosomal protein L7A, no bacterial homolog; RPL8A has a paralog, RPL8B, that arose from the whole genome duplication"	-0.50751	-0.72676	-1.46501	-1.71389	-1.6739	0.0	0.0	0.0	0.16793	0.0	-0.33199	-0.22144	0.93495	0.01972	0.07273	1.2	1.4	
YFL045C	SEC53	SGDID:S000001849, Chr VI from 44392-43628, Genome Release 64-2-1, reverse complement, Verified ORF, "Phosphomannomutase; involved in synthesis of GDP-mannose and dolichol-phosphate-mannose; required for folding and glycosylation of secretory proteins in the ER lumen"	-0.36598	-0.66873	-1.13362	-1.52796	-1.47481	0.02165	0.02426	0.01329	0.05823	0.56401	-0.30769	-0.11115	0.9597	0.00965	0.05202	3.8	6.8	
YPL143W	RPL33A	SGDID:S000006064, Chr XVI from 282122-282140,282666-282970, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L33A; N-terminally acetylated; rpl33a null mutant exhibits slow growth while rpl33a rpl33b double null mutant is inviable; homologous to mammalian ribosomal protein L35A, no bacterial homolog; RPL33A has a paralog, RPL33B, that arose from the whole genome duplication"	-0.40179	-0.79563	-1.21568	-1.46479	-1.64477	0.0224	0.01136	0.09336	0.04168	0.02264	-0.31551	-0.158	0.98633	0.00191	0.03043	3.4	5.8	
YCL028W	RNQ1	SGDID:S000000533, Chr III from 70150-71367, Genome Release 64-2-1, Verified ORF, "[PIN(+)] prion; an infectious protein conformation that is generally an ordered protein aggregate"	-0.28704	-0.75505	-1.16694	-1.7543	-1.59576	0.0	0.04885	0.03754	0.1391	0.2484	-0.36167	-0.02681	0.94732	0.0144	0.0706	2.0	2.8	
YDL075W	RPL31A	SGDID:S000002233, Chr IV from 322226-322282,322704-322988, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L31A; associates with karyopherin Sxm1p; loss of both Rpl31p and Rpl39p confers lethality; homologous to mammalian ribosomal protein L31, no bacterial homolog; RPL31A has a paralog, RPL31B, that arose from the whole genome duplication"	-0.44981	-0.76948	-1.05981	nan	-1.59119	0.0	0.10408	0.0	nan	0.0	-0.37145	-0.03895	0.9894	0.0106	0.03855	1.2	1.6	
YPL125W	KAP120	SGDID:S000006046, Chr XVI from 313388-316486, Genome Release 64-2-1, Verified ORF, "Karyopherin responsible for the nuclear import of Rpf1p; Rpf1p is a ribosome maturation factor"	-0.38008	-0.64113	-1.21729	-1.21999	-1.97727	0.0	0.0	0.15373	0.0	0.03122	-0.37732	0.04482	0.96598	0.00749	0.05832	1.4	1.4	
YIL133C	RPL16A	SGDID:S000001395, Chr IX from 99095-98527,99416-99386, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L16A; N-terminally acetylated, binds 5.8 S rRNA; transcriptionally regulated by Rap1p; homologous to mammalian ribosomal protein L13A and bacterial L13; RPL16A has a paralog, RPL16B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"	-0.4715	-0.80692	-1.21695	-1.40138	-1.62366	0.01432	0.04995	0.06199	0.0	0.5131	-0.28988	-0.23445	0.98873	0.00143	0.02534	2.6	2.8	
YIL018W	RPL2B	SGDID:S000001280, Chr IX from 316768-316771,317172-317932, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L2B; homologous to mammalian ribosomal protein L2 and bacterial L2; RPL2B has a paralog, RPL2A, that arose from the whole genome duplication; expression is upregulated at low temperatures"	-0.46979	-0.82992	-1.13073	-1.55025	-1.63648	0.02632	0.03209	0.0	0.07206	0.0935	-0.30537	-0.20732	0.98618	0.00195	0.02962	3.2	4.6	
YLL026W	HSP104	SGDID:S000003949, Chr XII from 88623-91349, Genome Release 64-2-1, Verified ORF, "Disaggregase; heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation; protein becomes more abundant and forms cytoplasmic foci in response to DNA replication stress; potentiated Hsp104p variants decrease TDP-43 proteotoxicity by eliminating its cytoplasmic aggregation"	-1.06736	-1.40148	nan	nan	-1.34426	0.0	0.0	nan	nan	0.27238	-0.29538	-0.78489	0.99715	0.04811	0.02237	1.8	2.0	Yes
YNL161W	CBK1	SGDID:S000005105, Chr XIV from 332597-334867, Genome Release 64-2-1, Verified ORF, "Serine/threonine protein kinase of the the RAM signaling network; Ndr/LATS family member; binds regulatory subunit Mob2p; involved in regulation of cellular morphogenesis, polarized growth, and septum destruction; phosphorylation by Cbk1p regulates localization and activity of Ace2p transcription factor and Ssd1p translational repressor; Cbk1p activity is regulated by both phosphorylation and specific localization; relocalizes to cytoplasm upon DNA replication stress"	-0.36673	-0.77656	-1.25758	-1.61123	nan	0.03443	0.06721	0.05532	0.0	nan	-0.42145	0.05061	0.99845	0.00155	0.01661	2.0	2.6	
YER055C	HIS1	SGDID:S000000857, Chr V from 265785-264892, Genome Release 64-2-1, reverse complement, Verified ORF, "ATP phosphoribosyltransferase; a hexameric enzyme, catalyzes the first step in histidine biosynthesis; mutations cause histidine auxotrophy and sensitivity to Cu, Co, and Ni salts; transcription is regulated by general amino acid control"	nan	-0.56179	-1.26115	-1.51044	-1.84408	nan	0.0	0.0	0.0	0.0	-0.40962	-0.27032	0.97272	0.02728	0.06908	0.8	0.8	
YMR219W	ESC1	SGDID:S000004832, Chr XIII from 707133-712109, Genome Release 64-2-1, Verified ORF, "Protein localized to the nuclear periphery; involved in telomeric silencing; interacts with PAD4-domain of Sir4p"	-0.26366	-0.52223	-0.94652	-1.15458	-1.45574	0.0	0.02878	0.03735	0.09009	0.08085	-0.30165	0.03641	0.99532	0.00038	0.01691	2.2	2.4	
YHR027C	RPN1	SGDID:S000001069, Chr VIII from 164711-161730, Genome Release 64-2-1, reverse complement, Verified ORF, "Non-ATPase base subunit of the 19S RP of the 26S proteasome; may participate in the recognition of several ligands of the proteasome; contains a leucine-rich repeat (LRR) domain, a site for protein-protein interactions; RP is the acronym for regulatory particle"	-0.13254	-0.3875	-0.68252	-1.10439	-1.16948	0.00088	0.0129	0.03585	0.01015	0.12388	-0.27908	0.14194	0.98435	0.00235	0.02885	2.0	2.0	
YML085C	TUB1	SGDID:S000004550, Chr XIII from 99259-97941,99400-99376, Genome Release 64-2-1, reverse complement, Verified ORF, "Alpha-tubulin; associates with beta-tubulin (Tub2p) to form tubulin dimer, which polymerizes to form microtubules; relative distribution to nuclear foci increases upon DNA replication stress; TUB1 has a paralog, TUB3, that arose from the whole genome duplication"	nan	-0.66526	-1.08433	nan	-1.40021	nan	0.05012	0.0	nan	0.0	-0.41122	-0.25666	0.99994	0.00702	0.00453	1.0	1.2	Yes
YMR108W	ILV2	SGDID:S000004714, Chr XIII from 484084-486147, Genome Release 64-2-1, Verified ORF, "Acetolactate synthase; catalyses the first common step in isoleucine and valine biosynthesis and is the target of several classes of inhibitors, localizes to the mitochondria; expression of the gene is under general amino acid control"	-0.35289	-0.78565	-1.24453	-1.4446	-1.7117	0.06056	0.13476	0.24253	0.1089	0.06362	-0.33766	-0.0949	0.98694	0.00179	0.03182	3.2	4.2	
YKR059W	TIF1	SGDID:S000001767, Chr XI from 554987-556174, Genome Release 64-2-1, Verified ORF, "Translation initiation factor eIF4A; DEA(D/H)-box RNA helicase that couples ATPase activity to RNA binding and unwinding; forms a dumbbell structure of two compact domains connected by a linker; interacts with eIF4G; protein abundance increases in response to DNA replication stress; TIF1 has a paralog, TIF2, that arose from the whole genome duplication"	-0.41682	-0.77145	-1.20473	-1.44702	-1.5911	0.0473	0.02772	0.03642	0.18416	0.08867	-0.30241	-0.17898	0.98307	0.00264	0.03254	3.6	4.8	
YOL127W	RPL25	SGDID:S000005487, Chr XV from 80348-80360,80775-81190, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L25; primary rRNA-binding ribosomal protein component of large ribosomal subunit; binds to 25S rRNA via a conserved C-terminal motif; homologous to mammalian ribosomal protein L23A and bacterial L23"	-0.4311	-0.78518	-1.16042	-1.41527	-1.59903	0.02907	0.03234	0.03187	0.11474	0.13133	-0.2966	-0.18842	0.99072	0.00107	0.02349	3.4	6.6	
YPL249C-A	RPL36B	SGDID:S000006438, Chr XVI from 75985-75699,76239-76224, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L36B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L36, no bacterial homolog; RPL36B has a paralog, RPL36A, that arose from the whole genome duplication"	-0.45946	-0.77248	-1.23552	-1.47231	-1.59469	0.0	0.0	0.0	0.0	0.0	-0.29703	-0.21581	0.9798	0.00344	0.035	1.0	1.0	
YNL071W	LAT1	SGDID:S000005015, Chr XIV from 491523-492971, Genome Release 64-2-1, Verified ORF, "Dihydrolipoamide acetyltransferase component (E2) of the PDC; the pyruvate dehydrogenase complex (PDC) catalyzes the oxidative decarboxylation of pyruvate to acetyl-CoA"	-0.25678	-0.67287	-1.01361	-1.57742	-1.8991	0.02387	0.12182	0.03997	0.2707	0.0	-0.41892	0.1728	0.99683	0.00021	0.01932	2.2	3.2	
YGR148C	RPL24B	SGDID:S000003380, Chr VII from 787779-787312, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L24B; not essential for translation but may be required for normal translation rate; homologous to mammalian ribosomal protein L24, no bacterial homolog; RPL24B has a paralog, RPL24A, that arose from the whole genome duplication"	-0.35618	-0.84513	nan	-1.5098	-1.82567	0.0	0.0	nan	0.0	0.0	-0.50731	0.13409	0.99185	0.00815	0.04609	0.8	1.0	
YLR325C	RPL38	SGDID:S000004317, Chr XII from 781379-781143, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L38; homologous to mammalian ribosomal protein L38, no bacterial homolog"	-0.49372	-0.87656	-1.11469	nan	-1.57964	0.0	0.04907	0.0	nan	0.16131	-0.34959	-0.14218	0.99305	0.00695	0.0293	1.2	1.6	
YHR064C	SSZ1	SGDID:S000001106, Chr VIII from 227141-225525, Genome Release 64-2-1, reverse complement, Verified ORF, "Hsp70 protein that interacts with Zuo1p (a DnaJ homolog); interacts with Zuo1p to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP"	-0.54259	-0.93	nan	-1.39679	-1.63196	0.09918	0.15664	nan	0.0	0.0	-0.37349	-0.19161	0.99247	0.00753	0.0326	1.2	1.8	
