Protein systematic name	Common name	Description	Average 1	Average 2	Average 3	Average 4	Average 5	Standard deviation 1	Standard deviation 2	Standard deviation 3	Standard deviation 4	Standard deviation 5	Slope	Intercept	r value	p value	std err	Ave uniqiue peptides	Ave MS/MS count	Time point filtered
YOR270C	VPH1	SGDID:S000005796, Chr XV from 830574-828052, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit a of vacuolar-ATPase V0 domain; one of two isoforms (Vph1p and Stv1p); Vph1p is located in V-ATPase complexes of the vacuole while Stv1p is located in V-ATPase complexes of the Golgi and endosomes; relative distribution to the vacuolar membrane decreases upon DNA replication stress"	-0.25439	-0.59498	-0.99594	-1.35785	-1.62549	0.02344	0.04912	0.04841	0.0955	0.1274	-0.35051	0.08579	0.99803	0.00011	0.01273	9.4	16.2	
YKL152C	GPM1	SGDID:S000001635, Chr XI from 164385-163642, Genome Release 64-2-1, reverse complement, Verified ORF, "Tetrameric phosphoglycerate mutase; mediates the conversion of 3-phosphoglycerate to 2-phosphoglycerate during glycolysis and the reverse reaction during gluconeogenesis"	-0.26089	-0.65809	-1.10296	-1.4646	-1.7635	0.02462	0.01669	0.03019	0.38455	0.05181	-0.38117	0.09351	0.99755	0.00015	0.01543	7.2	12.0	
YLR180W	SAM1	SGDID:S000004170, Chr XII from 515262-516410, Genome Release 64-2-1, Verified ORF, "S-adenosylmethionine synthetase; catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; SAM1 has a paralog, SAM2, that arose from the whole genome duplication"	-0.32717	-0.6757	-1.02662	-1.44536	-1.60088	0.02015	0.07647	0.11745	0.11446	0.16767	-0.33171	-0.02002	0.99257	0.00077	0.02348	5.2	8.0	
YNL178W	RPS3	SGDID:S000005122, Chr XIV from 302680-303402, Genome Release 64-2-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; has apurinic/apyrimidinic (AP) endonuclease activity; essential for viability; homologous to mammalian ribosomal protein S3 and bacterial S3"	-0.39606	-0.77711	-1.17879	-1.43595	-1.43275	0.02374	0.01229	0.06038	0.07297	0.44985	-0.27322	-0.22447	0.95766	0.01039	0.04742	7.8	15.8	
YGR034W	RPL26B	SGDID:S000003266, Chr VII from 555812-555830,556308-556672, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L26B; binds to 5.8S rRNA; non-essential even when paralog is also deleted; deletion has minimal affections on ribosome biosynthesis; homologous to mammalian ribosomal protein L26 and bacterial L24; RPL26B has a paralog, RPL26A, that arose from the whole genome duplication"	-0.39072	-0.80816	-1.19903	-1.43717	-1.41828	0.01377	0.04855	0.0735	0.05974	0.35105	-0.26841	-0.24543	0.94846	0.01393	0.05178	4.6	8.6	
YDR395W	SXM1	SGDID:S000002803, Chr IV from 1263324-1266158, Genome Release 64-2-1, Verified ORF, "Nuclear transport factor (karyopherin); involved in protein transport between the cytoplasm and nucleoplasm; similar to Nmd5p, Cse1p, Lph2p, and the human cellular apoptosis susceptibility protein, CAS1"	-0.3871	-0.71892	-1.08185	-1.48744	-1.47996	0.01559	0.0415	0.07453	0.16525	0.26608	-0.29542	-0.14478	0.97162	0.00572	0.04153	6.0	7.2	
YLL024C	SSA2	SGDID:S000003947, Chr XII from 97485-95566, Genome Release 64-2-1, reverse complement, Verified ORF, "ATP-binding protein; involved in protein folding and vacuolar import of proteins; member of heat shock protein 70 (HSP70) family; associated with the chaperonin-containing T-complex; present in the cytoplasm, vacuolar membrane and cell wall; 98% identical with paralog Ssa1p, but subtle differences between the two proteins provide functional specificity with respect to propagation of yeast [URE3] prions and vacuolar-mediated degradations of gluconeogenesis enzymes"	-0.24583	-0.67731	-1.16114	-1.51369	-1.60449	0.07841	0.07973	0.08123	0.15936	0.18247	-0.35537	0.02562	0.97814	0.00387	0.04362	18.6	37.2	
YGL008C	PMA1	SGDID:S000002976, Chr VII from 482666-479910, Genome Release 64-2-1, reverse complement, Verified ORF, "Plasma membrane P2-type H+-ATPase; pumps protons out of cell; major regulator of cytoplasmic pH and plasma membrane potential; long-lived protein asymmetrically distributed at plasma membrane between mother cells and buds; accumulates at high levels in mother cells during aging, buds emerge with very low levels of Pma1p, newborn cells have low levels of Pma1p; Hsp30p plays a role in Pma1p regulation; interactions with Std1p appear to propagate [GAR+]"	-0.38203	-0.76264	-1.21049	-1.48984	-1.61105	0.02326	0.03841	0.01899	0.05006	0.08858	-0.31852	-0.13564	0.981	0.00314	0.03637	9.8	17.4	
YKL060C	FBA1	SGDID:S000001543, Chr XI from 327487-326408, Genome Release 64-2-1, reverse complement, Verified ORF, "Fructose 1,6-bisphosphate aldolase; required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress; N-terminally propionylated in vivo"	-0.29869	-0.67725	-1.084	-1.56194	-1.83419	0.051	0.0329	0.03327	0.18409	0.14476	-0.39557	0.09549	0.99734	0.00016	0.01669	6.0	12.4	
YLR058C	SHM2	SGDID:S000004048, Chr XII from 259401-257992, Genome Release 64-2-1, reverse complement, Verified ORF, "Cytosolic serine hydroxymethyltransferase; converts serine to glycine plus 5,10 methylenetetrahydrofolate; major isoform involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis"	-0.2436	-0.39768	-0.74058	-1.49639	-1.84815	0.09298	0.03021	0.04339	0.06971	0.61399	-0.43078	0.34706	0.97477	0.00479	0.05695	4.4	7.6	
YKL182W	FAS1	SGDID:S000001665, Chr XI from 100671-106826, Genome Release 64-2-1, Verified ORF, "Beta subunit of fatty acid synthetase; complex catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities"	-0.34223	-0.69938	-1.2011	-1.4492	-1.5593	0.03372	0.04375	0.10666	0.09891	0.17805	-0.3184	-0.09505	0.97544	0.0046	0.04151	6.4	7.4	
YGR240C	PFK1	SGDID:S000003472, Chr VII from 973734-970771, Genome Release 64-2-1, reverse complement, Verified ORF, "Alpha subunit of heterooctameric phosphofructokinase; involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes"	-0.36125	-0.73362	-1.17188	-1.48393	-1.84903	0.09674	0.02466	0.13685	0.13018	0.12957	-0.37259	-0.00218	0.99878	5e-05	0.01065	7.6	12.0	
YGL147C	RPL9A	SGDID:S000003115, Chr VII from 228329-227754, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L9A; homologous to mammalian ribosomal protein L9 and bacterial L6; RPL9A has a paralog, RPL9B, that arose from a single-locus duplication"	-0.43731	-0.80655	-1.20271	-1.47898	-1.68187	0.0077	0.01905	0.02943	0.06571	0.09604	-0.31615	-0.17302	0.99201	0.00086	0.02322	6.4	10.6	
YJR045C	SSC1	SGDID:S000003806, Chr X from 521602-519638, Genome Release 64-2-1, reverse complement, Verified ORF, "Hsp70 family ATPase; constituent of the import motor component of the Translocase of the Inner Mitochondrial membrane (TIM23 complex); involved in protein translocation and folding; subunit of SceI endonuclease; SSC1 has a paralog, ECM10, that arose from the whole genome duplication"	-0.23574	-0.68751	-1.23393	-1.72674	-1.88643	0.03991	0.03864	0.06091	0.0612	0.14067	-0.43406	0.14811	0.9876	0.00165	0.03983	7.2	12.2	
YNL209W	SSB2	SGDID:S000005153, Chr XIV from 252059-253900, Genome Release 64-2-1, Verified ORF, "Cytoplasmic ATPase that is a ribosome-associated molecular chaperone; functions with J-protein partner Zuo1p; may be involved in the folding of newly-synthesized polypeptide chains; member of the HSP70 family; SSB2 has a paralog, SSB1, that arose from the whole genome duplication"	-0.45967	-0.79986	-1.14765	-1.43013	-1.56445	0.03023	0.03378	0.1157	0.18698	0.21763	-0.28398	-0.2284	0.98861	0.00146	0.02496	17.0	33.0	
YER102W	RPS8B	SGDID:S000000904, Chr V from 363100-363702, Genome Release 64-2-1, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S8, no bacterial homolog; RPS8B has a paralog, RPS8A, that arose from the whole genome duplication"	-0.41848	-0.78347	-1.21168	-1.50857	-1.71824	0.0305	0.01794	0.05861	0.04657	0.0862	-0.33246	-0.1307	0.99238	0.0008	0.02382	4.2	6.8	
YCR012W	PGK1	SGDID:S000000605, Chr III from 137746-138996, Genome Release 64-2-1, Verified ORF, "3-phosphoglycerate kinase; catalyzes transfer of high-energy phosphoryl groups from the acyl phosphate of 1,3-bisphosphoglycerate to ADP to produce ATP; key enzyme in glycolysis and gluconeogenesis"	-0.22111	-0.62296	-1.08776	-1.61699	-1.79597	0.02168	0.02253	0.02539	0.11911	0.11298	-0.41438	0.17417	0.9914	0.00096	0.03159	17.0	29.6	
YML024W	RPS17A	SGDID:S000004486, Chr XIII from 225889-225891,226290-226697, Genome Release 64-2-1, Verified ORF, "Ribosomal protein 51 (rp51) of the small (40s) subunit; homologous to mammalian ribosomal protein S17, no bacterial homolog; RPS17A has a paralog, RPS17B, that arose from the whole genome duplication"	-0.41935	-0.7824	-1.12922	-1.47406	-1.6241	0.05562	0.04044	0.03816	0.03089	0.10406	-0.31012	-0.15548	0.99133	0.00097	0.02372	6.4	10.8	
YPL169C	MEX67	SGDID:S000006090, Chr XVI from 230838-229039, Genome Release 64-2-1, reverse complement, Verified ORF, "Poly(A)RNA binding protein involved in nuclear mRNA export; component of the nuclear pore; ortholog of human TAP"	-0.36578	-0.70139	-1.10435	-1.44666	-1.7307	0.02361	0.03797	0.02595	0.04676	0.04901	-0.34751	-0.02724	0.99846	7e-05	0.01116	12.0	30.2	
YFL039C	ACT1	SGDID:S000001855, Chr VI from 54377-53260,54696-54687, Genome Release 64-2-1, reverse complement, Verified ORF, "Actin; structural protein involved in cell polarization, endocytosis, and other cytoskeletal functions"	-0.36503	-0.6858	-1.07136	-1.52648	-1.71561	0.05322	0.04962	0.08478	0.10821	0.18437	-0.35418	-0.0103	0.99397	0.00056	0.02257	5.0	6.4	
YER165W	PAB1	SGDID:S000000967, Chr V from 510373-512106, Genome Release 64-2-1, Verified ORF, "Poly(A) binding protein; part of the 3'-end RNA-processing complex, mediates interactions between the 5' cap structure and the 3' mRNA poly(A) tail, involved in control of poly(A) tail length, interacts with translation factor eIF-4G; stimulates, but is not required for the deadenylation activity of the Pan2p-Pan3p poly(A)-ribonuclease complex"	-0.56354	-0.81512	-1.16857	-1.2537	-1.68381	0.09061	0.06905	0.15012	0.40139	0.19295	-0.26791	-0.29321	0.98616	0.00195	0.02601	5.6	6.6	
YPL090C	RPS6A	SGDID:S000006011, Chr XVI from 377995-377291,378395-378390, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; homologous to mammalian ribosomal protein S6, no bacterial homolog; RPS6A has a paralog, RPS6B, that arose from the whole genome duplication"	-0.39176	-0.77964	-1.16494	-1.52616	-1.55137	0.02876	0.0085	0.05284	0.10912	0.45889	-0.30657	-0.16305	0.97322	0.00524	0.04181	7.2	17.0	
YGL253W	HXK2	SGDID:S000003222, Chr VII from 23935-25395, Genome Release 64-2-1, Verified ORF, "Hexokinase isoenzyme 2; catalyzes phosphorylation of glucose in the cytosol; predominant hexokinase during growth on glucose; functions in the nucleus to repress expression of HXK1 and GLK1 and to induce expression of its own gene; antiapoptotic; phosphorylation/dephosphorylation at serine-14 by protein kinase Snf1p and protein phosphatase Glc7p-Reg1p regulates nucleocytoplasmic shuttling of Hxk2p; HXK2 has a paralog, HXK1, that arose from the whole genome duplication"	-0.25093	-0.73356	-1.1312	-1.56035	-1.72966	0.00624	0.10756	0.0647	0.09725	0.20949	-0.37842	0.05414	0.98944	0.0013	0.03201	4.0	6.4	
YIL149C	MLP2	SGDID:S000001411, Chr IX from 68067-63028, Genome Release 64-2-1, reverse complement, Verified ORF, "Myosin-like protein associated with the nuclear envelope; nuclear basket protein that connects the nuclear pore complex with the nuclear interior; involved in the Tel1p pathway that controls telomere length; MLP2 has a paralog, MLP1, that arose from the whole genome duplication"	-0.3003	-0.48218	-0.58547	-0.68244	-0.79715	0.04694	0.07638	0.07025	0.06137	0.10496	-0.1194	-0.21132	0.99177	0.00089	0.0089	11.2	14.0	
YGL103W	RPL28	SGDID:S000003071, Chr VII from 310967-311015,311527-311927, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L28; homologous to mammalian ribosomal protein L27A and bacterial L15; may have peptidyl transferase activity; can mutate to cycloheximide resistance"	-0.39221	-0.78552	-1.17672	-1.48032	-1.72091	0.02245	0.01363	0.01146	0.1078	0.15294	-0.33522	-0.10548	0.99489	0.00044	0.01965	5.2	9.2	
YNR016C	ACC1	SGDID:S000005299, Chr XIV from 661374-654673, Genome Release 64-2-1, reverse complement, Verified ORF, "Acetyl-CoA carboxylase, biotin containing enzyme; catalyzes carboxylation of cytosolic acetyl-CoA to form malonyl-CoA and regulates histone acetylation by regulating the availablity of acetyl-CoA; required for de novo biosynthesis of long-chain fatty acids; ACC1 has a paralog, HFA1, that arose from the whole genome duplication"	-0.39925	-0.77219	-1.23044	-1.58835	-1.60426	0.0486	0.04141	0.115	0.16733	0.39436	-0.32262	-0.15104	0.96987	0.00625	0.04679	8.6	10.4	
YBR196C	PGI1	SGDID:S000000400, Chr II from 613900-612236, Genome Release 64-2-1, reverse complement, Verified ORF, "Glycolytic enzyme phosphoglucose isomerase; catalyzes the interconversion of glucose-6-phosphate and fructose-6-phosphate; required for cell cycle progression and completion of the gluconeogenic events of sporulation"	-0.29478	-0.66423	-0.96683	-1.62942	-1.66349	0.01251	0.04345	0.14519	0.09371	0.21616	-0.37026	0.06703	0.9764	0.00434	0.04728	4.2	7.8	
YMR308C	PSE1	SGDID:S000004925, Chr XIII from 892221-888952, Genome Release 64-2-1, reverse complement, Verified ORF, "Karyopherin/importin that interacts with the nuclear pore complex; acts as the nuclear import receptor for specific proteins, including Pdr1p, Yap1p, Ste12p, and Aft1p"	-0.46369	-0.69482	-1.11403	-1.48903	-1.66842	0.15102	0.04766	0.08438	0.10723	0.05632	-0.32037	-0.1249	0.99212	0.00084	0.02336	4.8	5.6	
YER043C	SAH1	SGDID:S000000845, Chr V from 237119-235770, Genome Release 64-2-1, reverse complement, Verified ORF, "S-adenosyl-L-homocysteine hydrolase; catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor; regulates cellular lipid homoeostasis by regulating phosphatidylcholine(PC)synthesis and triacylglycerol (TG) levels"	-0.4068	-0.78909	-1.17562	-1.53538	-1.66789	0.02942	0.02766	0.03394	0.08253	0.02856	-0.32685	-0.13441	0.98825	0.00153	0.02919	6.6	10.4	
YCR031C	RPS14A	SGDID:S000000627, Chr III from 177906-177500,178220-178214, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; required for ribosome assembly and 20S pre-rRNA processing; mutations confer cryptopleurine resistance; homologous to mammalian ribosomal protein S14 and bacterial S11; RPS14A has a paralog, RPS14B, that arose from the whole genome duplication"	-0.41133	-0.80658	-1.14752	-1.48636	-1.61755	0.0348	0.07875	0.18067	0.14692	0.00227	-0.30922	-0.1662	0.98799	0.00158	0.02792	4.6	6.0	
YGL238W	CSE1	SGDID:S000003207, Chr VII from 49552-52434, Genome Release 64-2-1, Verified ORF, "Nuclear envelope protein that acts as a recycling factor; mediates the nuclear export of Srp1p (importin alpha) back to the cytoplasm after its import substrates have been released into the nucleoplasm, thereby allowing the participation of Srp1p in multiple rounds of nuclear import; required for accurate chromosome segregation; homolog of metazoan CAS"	-0.37434	-0.6964	-1.06336	-1.35413	-1.76079	0.01765	0.01659	0.05502	0.21396	0.16553	-0.34306	-0.02061	0.99893	4e-05	0.00917	5.4	7.6	
YOR312C	RPL20B	SGDID:S000005839, Chr XV from 900767-900250,901194-901194, Genome Release 64-2-1, reverse complement, Verified ORF, "Ribosomal 60S subunit protein L20B; homologous to mammalian ribosomal protein L18A, no bacterial homolog; RPL20B has a paralog, RPL20A, that arose from the whole genome duplication"	-0.40562	-0.80754	-1.25242	-1.41945	-1.57364	0.04056	0.05257	0.07425	0.18381	0.05616	-0.29479	-0.20735	0.97351	0.00515	0.03997	4.6	7.0	
YPR080W	TEF1	SGDID:S000006284, Chr XVI from 700594-701970, Genome Release 64-2-1, Verified ORF, "Translational elongation factor EF-1 alpha; also encoded by TEF2; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes; may also have a role in tRNA re-export from the nucleus; TEF1 has a paralog, TEF2, that arose from the whole genome duplication"	-0.38767	-0.74242	-1.16213	-1.51057	-1.63257	0.0316	0.05082	0.05438	0.06379	0.12302	-0.3258	-0.10969	0.98658	0.00186	0.03113	13.6	28.0	
YJL130C	URA2	SGDID:S000003666, Chr X from 172367-165723, Genome Release 64-2-1, reverse complement, Verified ORF, "Bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase; catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP"	-0.4989	-0.83547	-1.07132	-1.5347	-1.64552	0.08688	0.08452	0.10201	0.03714	0.17159	-0.29925	-0.21944	0.98809	0.00156	0.0269	4.4	5.0	
YPL061W	ALD6	SGDID:S000005982, Chr XVI from 432588-434090, Genome Release 64-2-1, Verified ORF, "Cytosolic aldehyde dehydrogenase; activated by Mg2+ and utilizes NADP+ as the preferred coenzyme; required for conversion of acetaldehyde to acetate; constitutively expressed; locates to the mitochondrial outer surface upon oxidative stress"	-0.53312	-0.78989	-1.1736	-1.44437	-1.53091	0.03872	0.0414	0.16351	0.22777	0.23918	-0.26501	-0.29936	0.98282	0.0027	0.02874	6.4	8.8	
YML063W	RPS1B	SGDID:S000004528, Chr XIII from 146482-147249, Genome Release 64-2-1, Verified ORF, "Ribosomal protein 10 (rp10) of the small (40S) subunit; homologous to mammalian ribosomal protein S3A, no bacterial homolog; RPS1B has a paralog, RPS1A, that arose from the whole genome duplication"	-0.39542	-0.77682	-1.16649	-1.47432	-1.61769	0.03856	0.04463	0.04131	0.04539	0.10908	-0.3142	-0.14354	0.98747	0.00168	0.02899	7.6	14.6	
YKL180W	RPL17A	SGDID:S000001663, Chr XI from 109269-109577,109884-110129, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L17A; copurifies with the Dam1 complex (aka DASH complex); homologous to mammalian ribosomal protein L17 and bacterial L22; RPL17A has a paralog, RPL17B, that arose from the whole genome duplication; protein abundance increases in response to DNA replication stress"	-0.40077	-0.79163	-1.25622	-1.51936	-1.64916	0.01565	0.05415	0.10472	0.05044	0.16457	-0.32245	-0.15607	0.97978	0.00344	0.03802	4.4	13.6	
YMR186W	HSC82	SGDID:S000004798, Chr XIII from 632355-634472, Genome Release 64-2-1, Verified ORF, "Cytoplasmic chaperone of the Hsp90 family; plays a role in determining prion variants; redundant in function and nearly identical with Hsp82p, and together they are essential; expressed constitutively at 10-fold higher basal levels than HSP82 and induced 2-3 fold by heat shock; contains two acid-rich unstructured regions that promote the solubility of chaperone-substrate complexes; HSC82 has a paralog, HSP82, that arose from the whole genome duplication"	-0.24565	-0.66502	-1.05804	-1.53626	-1.50499	0.02674	0.03593	0.19688	0.12931	0.3428	-0.33899	0.01498	0.96768	0.00694	0.051	10.6	15.0	
YOR063W	RPL3	SGDID:S000005589, Chr XV from 444686-445849, Genome Release 64-2-1, Verified ORF, "Ribosomal 60S subunit protein L3; homologous to mammalian ribosomal protein L3 and bacterial L3; plays an important role in function of eIF5B in stimulating 3' end processing of 18S rRNA in context of 80S ribosomes that have not yet engaged in translation; involved in replication and maintenance of killer double stranded RNA virus"	-0.38316	-0.75641	-1.14503	-1.44957	-1.64991	0.02856	0.06125	0.06012	0.06468	0.08272	-0.32267	-0.10882	0.993	0.0007	0.02215	14.4	36.8	
YLR259C	HSP60	SGDID:S000004249, Chr XII from 665002-663284, Genome Release 64-2-1, reverse complement, Verified ORF, "Tetradecameric mitochondrial chaperonin; required for ATP-dependent folding of precursor polypeptides and complex assembly; prevents aggregation and mediates protein refolding after heat shock; role in mtDNA transmission; phosphorylated"	-0.2351	-0.58154	-1.08607	-1.48267	-1.58707	0.1153	0.11022	0.10519	0.23758	0.21298	-0.36051	0.08703	0.98298	0.00266	0.0389	10.0	16.6	
