Protein systematic name	Common name	Description	Time points	Ave unique peptide	Ave MS/MS count
YGL202W	ARO8	SGDID:S000003170, Chr VII from 116059-117561, Genome Release 64-2-1, Verified ORF, "Aromatic aminotransferase I; expression is regulated by general control of amino acid biosynthesis"	1	0.2	0.2
YMR258C	ROY1	SGDID:S000004871, Chr XIII from 784281-782620, Genome Release 64-2-1, reverse complement, Verified ORF, "GTPase inhibitor with similarity to F-box proteins; inhibits Ypt52p GTPase activity by preventing Ypt52p from binding GTP; involved in regulating intracellular trafficking; physically interacts with Skp1p"	1	0.2	0.2
YMR258C	ROY1	SGDID:S000004871, Chr XIII from 784281-782620, Genome Release 64-2-1, reverse complement, Verified ORF, "GTPase inhibitor with similarity to F-box proteins; inhibits Ypt52p GTPase activity by preventing Ypt52p from binding GTP; involved in regulating intracellular trafficking; physically interacts with Skp1p"	1	0.2	0.2
YMR258C	ROY1	SGDID:S000004871, Chr XIII from 784281-782620, Genome Release 64-2-1, reverse complement, Verified ORF, "GTPase inhibitor with similarity to F-box proteins; inhibits Ypt52p GTPase activity by preventing Ypt52p from binding GTP; involved in regulating intracellular trafficking; physically interacts with Skp1p"	1	0.2	0.2
YOR117W	RPT5	SGDID:S000005643, Chr XV from 545029-546333, Genome Release 64-2-1, Verified ORF, "ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1"	2	0.6	0.8
YOR117W	RPT5	SGDID:S000005643, Chr XV from 545029-546333, Genome Release 64-2-1, Verified ORF, "ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1"	2	0.6	0.8
YOR117W	RPT5	SGDID:S000005643, Chr XV from 545029-546333, Genome Release 64-2-1, Verified ORF, "ATPase of the 19S regulatory particle of the 26S proteasome; one of six ATPases of the regulatory particle; involved in the degradation of ubiquitinated substrates; recruited to the GAL1-10 promoter region upon induction of transcription; similar to human TBP1"	2	0.6	0.8
YPR035W	GLN1	SGDID:S000006239, Chr XVI from 642208-643320, Genome Release 64-2-1, Verified ORF, "Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"	1	0.2	0.2
YPR035W	GLN1	SGDID:S000006239, Chr XVI from 642208-643320, Genome Release 64-2-1, Verified ORF, "Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"	1	0.2	0.2
YPR035W	GLN1	SGDID:S000006239, Chr XVI from 642208-643320, Genome Release 64-2-1, Verified ORF, "Glutamine synthetase (GS); synthesizes glutamine from glutamate and ammonia; with Glt1p, forms the secondary pathway for glutamate biosynthesis from ammonia; expression regulated by nitrogen source and by amino acid limitation; forms filaments of back-to-back stacks of cylindrical homo-decamers at low pH, leading to enzymatic inactivation and storage during states of advanced cellular starvation; relocalizes from nucleus to cytoplasmic foci upon DNA replication stress"	1	0.2	0.2
YPL004C	LSP1	SGDID:S000005925, Chr XVI from 551657-550632, Genome Release 64-2-1, reverse complement, Verified ORF, "Eisosome core component; eisosomes are large immobile patch structures at the cell cortex associated with endocytosis; phosphorylated on Thr233 upon Pkc1p hyperactivation in a Slt2p MAPK-dependent fashion; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; member of the BAR domain family"	1	0.2	0.2
YPL004C	LSP1	SGDID:S000005925, Chr XVI from 551657-550632, Genome Release 64-2-1, reverse complement, Verified ORF, "Eisosome core component; eisosomes are large immobile patch structures at the cell cortex associated with endocytosis; phosphorylated on Thr233 upon Pkc1p hyperactivation in a Slt2p MAPK-dependent fashion; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; member of the BAR domain family"	1	0.2	0.2
YPL004C	LSP1	SGDID:S000005925, Chr XVI from 551657-550632, Genome Release 64-2-1, reverse complement, Verified ORF, "Eisosome core component; eisosomes are large immobile patch structures at the cell cortex associated with endocytosis; phosphorylated on Thr233 upon Pkc1p hyperactivation in a Slt2p MAPK-dependent fashion; null mutants show activation of Pkc1p/Ypk1p stress resistance pathways; member of the BAR domain family"	1	0.2	0.2
YNL104C	LEU4	SGDID:S000005048, Chr XIV from 426754-424895, Genome Release 64-2-1, reverse complement, Verified ORF, "Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication"	1	0.2	0.2
YNL104C	LEU4	SGDID:S000005048, Chr XIV from 426754-424895, Genome Release 64-2-1, reverse complement, Verified ORF, "Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication"	1	0.2	0.2
YNL104C	LEU4	SGDID:S000005048, Chr XIV from 426754-424895, Genome Release 64-2-1, reverse complement, Verified ORF, "Alpha-isopropylmalate synthase (2-isopropylmalate synthase); the main isozyme responsible for the first step in the leucine biosynthesis pathway; LEU4 has a paralog, LEU9, that arose from the whole genome duplication"	1	0.2	0.2
YJR139C	HOM6	SGDID:S000003900, Chr X from 690524-689445, Genome Release 64-2-1, reverse complement, Verified ORF, "Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase); dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis; enzyme has nucleotide-binding, dimerization and catalytic regions"	1	0.4	0.4
YJR139C	HOM6	SGDID:S000003900, Chr X from 690524-689445, Genome Release 64-2-1, reverse complement, Verified ORF, "Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase); dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis; enzyme has nucleotide-binding, dimerization and catalytic regions"	1	0.4	0.4
YJR139C	HOM6	SGDID:S000003900, Chr X from 690524-689445, Genome Release 64-2-1, reverse complement, Verified ORF, "Homoserine dehydrogenase (L-homoserine:NADP oxidoreductase); dimeric enzyme that catalyzes the third step in the common pathway for methionine and threonine biosynthesis; enzyme has nucleotide-binding, dimerization and catalytic regions"	1	0.4	0.4
YKL172W	EBP2	SGDID:S000001655, Chr XI from 125759-127042, Genome Release 64-2-1, Verified ORF, "Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering"	2	0.4	0.4
YKL172W	EBP2	SGDID:S000001655, Chr XI from 125759-127042, Genome Release 64-2-1, Verified ORF, "Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering"	2	0.4	0.4
YKL172W	EBP2	SGDID:S000001655, Chr XI from 125759-127042, Genome Release 64-2-1, Verified ORF, "Required for 25S rRNA maturation and 60S ribosomal subunit assembly; localizes to the nucleolus and in foci along nuclear periphery; constituent of 66S pre-ribosomal particles; cooperates with Rrs1p and Mps3p to mediate telomere clustering by binding Sir4p, but is not involved in telomere tethering"	2	0.4	0.4
YDR226W	ADK1	SGDID:S000002634, Chr IV from 916486-917154, Genome Release 64-2-1, Verified ORF, "Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress"	1	0.2	0.2
YDR226W	ADK1	SGDID:S000002634, Chr IV from 916486-917154, Genome Release 64-2-1, Verified ORF, "Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress"	1	0.2	0.2
YDR226W	ADK1	SGDID:S000002634, Chr IV from 916486-917154, Genome Release 64-2-1, Verified ORF, "Adenylate kinase, required for purine metabolism; localized to the cytoplasm and the mitochondria; lacks cleavable signal sequence; protein abundance increases in response to DNA replication stress"	1	0.2	0.2
YPR163C	TIF3	SGDID:S000006367, Chr XVI from 869955-868645, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF-4B; contains an RNA recognition motif and binds to single-stranded RNA; has RNA annealing activity; interacts with Rps20p at the head of the 40S ribosomal subunit and alters the structure of the mRNA entry channel"	1	0.2	0.2
YPR163C	TIF3	SGDID:S000006367, Chr XVI from 869955-868645, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF-4B; contains an RNA recognition motif and binds to single-stranded RNA; has RNA annealing activity; interacts with Rps20p at the head of the 40S ribosomal subunit and alters the structure of the mRNA entry channel"	1	0.2	0.2
YPR163C	TIF3	SGDID:S000006367, Chr XVI from 869955-868645, Genome Release 64-2-1, reverse complement, Verified ORF, "Translation initiation factor eIF-4B; contains an RNA recognition motif and binds to single-stranded RNA; has RNA annealing activity; interacts with Rps20p at the head of the 40S ribosomal subunit and alters the structure of the mRNA entry channel"	1	0.2	0.2
YDL149W	ATG9	SGDID:S000002308, Chr IV from 184925-187918, Genome Release 64-2-1, Verified ORF, "Transmembrane protein involved in forming Cvt and autophagic vesicles; cycles between the phagophore assembly site (PAS) and other cytosolic punctate structures, not found in autophagosomes; may be involved in membrane delivery to the PAS"	2	0.4	0.4
YDL149W	ATG9	SGDID:S000002308, Chr IV from 184925-187918, Genome Release 64-2-1, Verified ORF, "Transmembrane protein involved in forming Cvt and autophagic vesicles; cycles between the phagophore assembly site (PAS) and other cytosolic punctate structures, not found in autophagosomes; may be involved in membrane delivery to the PAS"	2	0.4	0.4
YDL149W	ATG9	SGDID:S000002308, Chr IV from 184925-187918, Genome Release 64-2-1, Verified ORF, "Transmembrane protein involved in forming Cvt and autophagic vesicles; cycles between the phagophore assembly site (PAS) and other cytosolic punctate structures, not found in autophagosomes; may be involved in membrane delivery to the PAS"	2	0.4	0.4
YGR231C	PHB2	SGDID:S000003463, Chr VII from 953480-952548, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR)"	1	0.2	0.2
YGR231C	PHB2	SGDID:S000003463, Chr VII from 953480-952548, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR)"	1	0.2	0.2
YGR231C	PHB2	SGDID:S000003463, Chr VII from 953480-952548, Genome Release 64-2-1, reverse complement, Verified ORF, "Subunit of the prohibitin complex (Phb1p-Phb2p); prohibitin is a 1.2 MDa ring-shaped inner mitochondrial membrane chaperone that stabilizes newly synthesized proteins; determinant of replicative life span; involved in mitochondrial segregation; prohibitin deficiency induces a mitochondrial unfolded protein response (mtUPR)"	1	0.2	0.2
YPR108W	RPN7	SGDID:S000006312, Chr XVI from 742454-743743, Genome Release 64-2-1, Verified ORF, "Essential non-ATPase regulatory subunit of the 26S proteasome; similar to another S. cerevisiae regulatory subunit, Rpn5p, as well as to mammalian proteasome subunits"	2	0.6	0.8
YPR108W	RPN7	SGDID:S000006312, Chr XVI from 742454-743743, Genome Release 64-2-1, Verified ORF, "Essential non-ATPase regulatory subunit of the 26S proteasome; similar to another S. cerevisiae regulatory subunit, Rpn5p, as well as to mammalian proteasome subunits"	2	0.6	0.8
YPR108W	RPN7	SGDID:S000006312, Chr XVI from 742454-743743, Genome Release 64-2-1, Verified ORF, "Essential non-ATPase regulatory subunit of the 26S proteasome; similar to another S. cerevisiae regulatory subunit, Rpn5p, as well as to mammalian proteasome subunits"	2	0.6	0.8
YNL225C	CNM67	SGDID:S000005169, Chr XIV from 224469-222724, Genome Release 64-2-1, reverse complement, Verified ORF, "Component of the spindle pole body outer plaque; required for spindle orientation and mitotic nuclear migration; CNM67 has a paralog, ADY3, that arose from the whole genome duplication"	2	0.4	0.4
YNL225C	CNM67	SGDID:S000005169, Chr XIV from 224469-222724, Genome Release 64-2-1, reverse complement, Verified ORF, "Component of the spindle pole body outer plaque; required for spindle orientation and mitotic nuclear migration; CNM67 has a paralog, ADY3, that arose from the whole genome duplication"	2	0.4	0.4
YNL225C	CNM67	SGDID:S000005169, Chr XIV from 224469-222724, Genome Release 64-2-1, reverse complement, Verified ORF, "Component of the spindle pole body outer plaque; required for spindle orientation and mitotic nuclear migration; CNM67 has a paralog, ADY3, that arose from the whole genome duplication"	2	0.4	0.4
YOR167C	RPS28A	SGDID:S000005693, Chr XV from 649007-648804, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; has an extraribosomal function in regulation of RPS28B, in which Rps28Ap binds to a decapping complex via Edc3p, which then binds to RPS28B mRNA leading to its decapping and degradation; homologous to mammalian ribosomal protein S28, no bacterial homolog; RPS28A has a paralog, RPS28B, that arose from the whole genome duplication"	1	0.2	0.2
YOR167C	RPS28A	SGDID:S000005693, Chr XV from 649007-648804, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; has an extraribosomal function in regulation of RPS28B, in which Rps28Ap binds to a decapping complex via Edc3p, which then binds to RPS28B mRNA leading to its decapping and degradation; homologous to mammalian ribosomal protein S28, no bacterial homolog; RPS28A has a paralog, RPS28B, that arose from the whole genome duplication"	1	0.2	0.2
YOR167C	RPS28A	SGDID:S000005693, Chr XV from 649007-648804, Genome Release 64-2-1, reverse complement, Verified ORF, "Protein component of the small (40S) ribosomal subunit; has an extraribosomal function in regulation of RPS28B, in which Rps28Ap binds to a decapping complex via Edc3p, which then binds to RPS28B mRNA leading to its decapping and degradation; homologous to mammalian ribosomal protein S28, no bacterial homolog; RPS28A has a paralog, RPS28B, that arose from the whole genome duplication"	1	0.2	0.2
YIL033C	BCY1	SGDID:S000001295, Chr IX from 291669-290419, Genome Release 64-2-1, reverse complement, Verified ORF, "Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA); PKA is a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation"	1	0.2	0.2
YIL033C	BCY1	SGDID:S000001295, Chr IX from 291669-290419, Genome Release 64-2-1, reverse complement, Verified ORF, "Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA); PKA is a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation"	1	0.2	0.2
YIL033C	BCY1	SGDID:S000001295, Chr IX from 291669-290419, Genome Release 64-2-1, reverse complement, Verified ORF, "Regulatory subunit of the cyclic AMP-dependent protein kinase (PKA); PKA is a component of a signaling pathway that controls a variety of cellular processes, including metabolism, cell cycle, stress response, stationary phase, and sporulation"	1	0.2	0.2
YPR036W	VMA13	SGDID:S000006240, Chr XVI from 643836-645272, Genome Release 64-2-1, Verified ORF, "Subunit H of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; serves as an activator or a structural stabilizer of the V-ATPase; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits"	1	0.2	0.2
YPR036W	VMA13	SGDID:S000006240, Chr XVI from 643836-645272, Genome Release 64-2-1, Verified ORF, "Subunit H of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; serves as an activator or a structural stabilizer of the V-ATPase; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits"	1	0.2	0.2
YPR036W	VMA13	SGDID:S000006240, Chr XVI from 643836-645272, Genome Release 64-2-1, Verified ORF, "Subunit H of the V1 peripheral membrane domain of V-ATPase; part of the electrogenic proton pump found throughout the endomembrane system; serves as an activator or a structural stabilizer of the V-ATPase; the V1 peripheral membrane domain of the vacuolar H+-ATPase (V-ATPase) has eight subunits"	1	0.2	0.2
YBR143C	SUP45	SGDID:S000000347, Chr II from 532182-530869, Genome Release 64-2-1, reverse complement, Verified ORF, "Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin; has a role in cytokinesis through interaction with Mlc1p"	2	1.0	1.4
YBR143C	SUP45	SGDID:S000000347, Chr II from 532182-530869, Genome Release 64-2-1, reverse complement, Verified ORF, "Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin; has a role in cytokinesis through interaction with Mlc1p"	2	1.0	1.4
YBR143C	SUP45	SGDID:S000000347, Chr II from 532182-530869, Genome Release 64-2-1, reverse complement, Verified ORF, "Polypeptide release factor (eRF1) in translation termination; mutant form acts as a recessive omnipotent suppressor; methylated by Mtq2p-Trm112p in ternary complex eRF1-eRF3-GTP; mutation of methylation site confers resistance to zymocin; has a role in cytokinesis through interaction with Mlc1p"	2	1.0	1.4
YAR015W	ADE1	SGDID:S000000070, Chr I from 169375-170295, Genome Release 64-2-1, Verified ORF, "N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress"	1	0.4	0.4
YAR015W	ADE1	SGDID:S000000070, Chr I from 169375-170295, Genome Release 64-2-1, Verified ORF, "N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress"	1	0.4	0.4
YAR015W	ADE1	SGDID:S000000070, Chr I from 169375-170295, Genome Release 64-2-1, Verified ORF, "N-succinyl-5-aminoimidazole-4-carboxamide ribotide synthetase; required for 'de novo' purine nucleotide biosynthesis; red pigment accumulates in mutant cells deprived of adenine; protein abundance increases in response to DNA replication stress"	1	0.4	0.4
YMR229C	RRP5	SGDID:S000004842, Chr XIII from 731123-725934, Genome Release 64-2-1, reverse complement, Verified ORF, "RNA binding protein involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; has binding preference for single stranded tracts of U's; relocalizes from nucleolus to nucleus upon DNA replication stress"	2	0.4	0.4
YMR229C	RRP5	SGDID:S000004842, Chr XIII from 731123-725934, Genome Release 64-2-1, reverse complement, Verified ORF, "RNA binding protein involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; has binding preference for single stranded tracts of U's; relocalizes from nucleolus to nucleus upon DNA replication stress"	2	0.4	0.4
YMR229C	RRP5	SGDID:S000004842, Chr XIII from 731123-725934, Genome Release 64-2-1, reverse complement, Verified ORF, "RNA binding protein involved in synthesis of both 18S and 5.8S rRNAs; component of both the ribosomal small subunit (SSU) processosome and the 90S preribosome; acts as part of a Mak21p-Noc2p-Rrp5p module that associates with nascent pre-rRNA during transcription and has a role in bigenesis of the large ribosomal subunit; has binding preference for single stranded tracts of U's; relocalizes from nucleolus to nucleus upon DNA replication stress"	2	0.4	0.4
YDR356W	SPC110	SGDID:S000002764, Chr IV from 1186107-1188941, Genome Release 64-2-1, Verified ORF, "Inner plaque spindle pole body (SPB) component; ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner"	2	1.2	1.2
YDR356W	SPC110	SGDID:S000002764, Chr IV from 1186107-1188941, Genome Release 64-2-1, Verified ORF, "Inner plaque spindle pole body (SPB) component; ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner"	2	1.2	1.2
YDR356W	SPC110	SGDID:S000002764, Chr IV from 1186107-1188941, Genome Release 64-2-1, Verified ORF, "Inner plaque spindle pole body (SPB) component; ortholog of human kendrin; involved in connecting nuclear microtubules to SPB; interacts with Tub4p-complex and calmodulin; phosphorylated by Mps1p in cell cycle-dependent manner"	2	1.2	1.2
YOR128C	ADE2	SGDID:S000005654, Chr XV from 566191-564476, Genome Release 64-2-1, reverse complement, Verified ORF, "Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine"	1	0.2	0.2
YOR128C	ADE2	SGDID:S000005654, Chr XV from 566191-564476, Genome Release 64-2-1, reverse complement, Verified ORF, "Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine"	1	0.2	0.2
YOR128C	ADE2	SGDID:S000005654, Chr XV from 566191-564476, Genome Release 64-2-1, reverse complement, Verified ORF, "Phosphoribosylaminoimidazole carboxylase; catalyzes a step in the 'de novo' purine nucleotide biosynthetic pathway; red pigment accumulates in mutant cells deprived of adenine"	1	0.2	0.2
YGL256W	ADH4	SGDID:S000003225, Chr VII from 15159-16307, Genome Release 64-2-1, Verified ORF, "Alcohol dehydrogenase isoenzyme type IV; dimeric enzyme demonstrated to be zinc-dependent despite sequence similarity to iron-activated alcohol dehydrogenases; transcription is induced in response to zinc deficiency"	2	1.0	1.0
YGL256W	ADH4	SGDID:S000003225, Chr VII from 15159-16307, Genome Release 64-2-1, Verified ORF, "Alcohol dehydrogenase isoenzyme type IV; dimeric enzyme demonstrated to be zinc-dependent despite sequence similarity to iron-activated alcohol dehydrogenases; transcription is induced in response to zinc deficiency"	2	1.0	1.0
YGL256W	ADH4	SGDID:S000003225, Chr VII from 15159-16307, Genome Release 64-2-1, Verified ORF, "Alcohol dehydrogenase isoenzyme type IV; dimeric enzyme demonstrated to be zinc-dependent despite sequence similarity to iron-activated alcohol dehydrogenases; transcription is induced in response to zinc deficiency"	2	1.0	1.0
YDR172W	SUP35	SGDID:S000002579, Chr IV from 808324-810381, Genome Release 64-2-1, Verified ORF, "Translation termination factor eRF3; has a role in mRNA deadenylation and decay; altered protein conformation creates the [PSI(+)] prion that modifies cellular fitness, alters translational fidelity by affecting reading frame selection, and results in a nonsense suppressor phenotype; many stress-response genes are repressed in the presence of [PSI(+)]"	2	0.4	0.6
